FID,POPULATION,CARBON,PERCAPCARB,POPDENSITY,UNITTYPE,UNINAME,POINT_X,POINT_Y,WWF_MHTNAM
0,50389.41203,0.010221047,2.03E-07,276559.5484,STATE,Manus STATE,146.9123013,-2.088797733,Tropical and Subtropical Moist Broadleaf Forests
1,7886210.262,2.305583923,2.92E-07,207968.0467,NATION,Papua New Guinea NATION,145.8584213,-6.757976652,Tropical and Subtropical Moist Broadleaf Forests
2,4293956.607,11.05003236,2.57E-06,167817.1296,STATE,Papua STATE,138.7540478,-4.584848249,Tropical and Subtropical Moist Broadleaf Forests
3,477474.8892,0.007235709,1.52E-08,951283.44,STATE,Chimbu STATE,144.886116,-6.269936057,Tropical and Subtropical Moist Broadleaf Forests
4,648073.7142,0.221099323,3.41E-07,711283.2796,STATE,Eastern Highlands STATE,145.6087266,-6.468114153,Tropical and Subtropical Moist Broadleaf Forests
5,533194.3068,0.112186825,2.10E-07,556918.3729,STATE,Enga STATE,143.4732512,-5.436074186,Tropical and Subtropical Moist Broadleaf Forests
6,444631.8408,0.014054458,3.16E-08,556650.9731,STATE,Hela STATE,142.7351618,-5.678040882,Tropical and Subtropical Moist Broadleaf Forests
7,427689.7529,0.009271898,2.17E-08,1078887.876,STATE,Jiwaka STATE,144.6504593,-5.857104497,Tropical and Subtropical Moist Broadleaf Forests
8,689160.9798,0.267392022,3.88E-07,247995.8996,STATE,Morobe STATE,146.2967758,-6.791836238,Tropical and Subtropical Moist Broadleaf Forests
9,245872.5982,0.044687464,1.82E-07,84600.62801,STATE,Sandaun STATE,141.5239601,-4.890857834,Tropical and Subtropical Moist Broadleaf Forests
10,590148.6011,0.086345148,1.46E-07,453414.9525,STATE,Southern Highlands STATE,143.5871094,-6.454373527,Tropical and Subtropical Moist Broadleaf Forests
11,398240.2371,0.02042564,5.13E-08,1144337.811,STATE,Western Highlands STATE,144.1977087,-5.766420445,Tropical and Subtropical Moist Broadleaf Forests
12,1265584.348,1.339173022,1.06E-06,494264.226,STATE,Maluku Utara STATE,128.0153236,0.871338727,Tropical and Subtropical Moist Broadleaf Forests
13,286600.025,0.065811288,2.30E-07,228879.642,STATE,East New Britain STATE,151.9521294,-5.330745815,Tropical and Subtropical Moist Broadleaf Forests
14,175246.5343,0.300003736,1.71E-06,222543.904,STATE,New Ireland STATE,151.9102783,-3.31458143,Tropical and Subtropical Moist Broadleaf Forests
15,265613.5963,0.040619116,1.53E-07,159594.9154,STATE,West New Britain STATE,149.8354893,-5.760901674,Tropical and Subtropical Moist Broadleaf Forests
16,242997.0607,1.980227372,8.15E-06,148266.845,NATION,New Caledonia NATION,165.5143051,-21.41143595,Tropical and Subtropical Moist Broadleaf Forests
17,12576.82258,0.020193198,1.61E-06,73142.17717,STATE,ÃŽles LoyautÃ© STATE,167.2330315,-20.94324159,Tropical and Subtropical Moist Broadleaf Forests
18,45234.40994,0.398401299,8.81E-06,54996.27805,STATE,Nord STATE,165.0719376,-21.06134683,Tropical and Subtropical Moist Broadleaf Forests
19,183678.5796,1.559657338,8.49E-06,285008.4081,STATE,Sud STATE,166.052124,-21.75917921,Tropical and Subtropical Moist Broadleaf Forests
20,1974.841521,0,0,524680.4138,NATION,Norfolk Island NATION,167.9522656,-29.03257938,Tropical and Subtropical Moist Broadleaf Forests
